n,t,p
224,11642,932.48
225,11694,932.54
226,11745,932.57
227,11796,932.48
228,11847,932.48
229,11898,932.45
230,11951,932.52
231,12005,932.52
232,12056,932.53
233,12107,932.48
234,12158,932.46
235,12210,932.51
236,12262,932.53
237,12313,932.49
238,12364,932.49
239,12416,932.53
240,12467,932.46
241,12519,932.49
242,12570,932.49
243,12621,932.47
244,12673,932.53
245,12724,932.44
246,12775,932.53
247,12826,932.55
248,12877,932.53
249,12930,932.56
250,12983,932.51
251,13034,932.53
252,13084,932.50
253,13135,932.48
254,13186,932.53
255,13237,932.48
256,13289,932.52
257,13340,932.51
258,13388,932.53
259,13438,932.48
260,13487,932.52
261,13540,932.51
262,13592,932.47
263,13643,932.51
264,13693,932.47
265,13745,932.49
266,13796,932.47
267,13847,932.55
268,13898,932.49
269,13949,932.52
270,14000,932.50
271,14050,932.46
272,14101,932.50
273,14153,932.54
274,14202,932.51
275,14253,932.47
276,14304,932.53
277,14356,932.46
278,14407,932.46
279,14462,932.51
280,14514,932.47
281,14566,932.52
282,14617,932.49
283,14668,932.49
284,14720,932.53
285,14772,932.54
286,14823,932.51
287,14874,932.48
288,14926,932.49
289,14978,932.49
290,15029,932.51
291,15083,932.49
292,15135,932.47
293,15187,932.47
294,15239,932.51
295,15291,932.53
296,15342,932.45
297,15393,932.55
298,15446,932.54
299,15497,932.46
300,15549,932.50
301,15600,932.51
302,15651,932.48
303,15704,932.47
304,15756,932.52
305,15807,932.51
306,15858,932.56
307,15913,932.49
308,15965,932.48
309,16017,932.52
310,16068,932.51
311,16120,932.46
312,16172,932.54
313,16224,932.49
314,16275,932.46
315,16326,932.47
316,16378,932.47
317,16430,932.49
318,16482,932.50
319,16533,932.48
320,16585,932.45
321,16640,932.52
322,16690,932.51
323,16741,932.50
324,16792,932.50
325,16844,932.48
326,16896,932.47
327,16948,932.51
328,16999,932.49
329,17050,932.57
330,17101,932.49
331,17153,932.45
332,17205,932.47
333,17256,932.55
334,17307,932.54
335,17362,932.47
336,17415,932.40
337,17466,932.51
338,17517,932.47
339,17568,932.48
340,17619,932.42
341,17672,932.53
342,17723,932.46
343,17774,932.51
344,17826,932.54
345,17878,932.51
346,17929,932.48
347,17980,932.51
348,18032,932.51
349,18083,932.48
350,18135,932.45
351,18190,932.42
352,18241,932.47
353,18292,932.54
354,18344,932.48
355,18396,932.50
356,18448,932.45
357,18499,932.51
358,18551,932.53
359,18603,932.47
360,18654,932.46
361,18706,932.49
362,18757,932.50
363,18812,932.49
364,18864,932.49
365,18916,932.49
366,18967,932.46
367,19019,932.53
368,19070,932.43
369,19122,932.48
370,19174,932.50
371,19225,932.49
372,19277,932.45
373,19329,932.55
374,19381,932.46
375,19432,932.52
376,19483,932.46
377,19535,932.47
378,19587,932.49
379,19639,932.51
380,19690,932.45
381,19745,932.52
382,19796,932.43
383,19848,932.48
384,19900,932.47
385,19951,932.55
386,20002,932.42
387,20055,932.46
388,20106,932.47
389,20158,932.55
390,20209,932.50
391,20264,932.47
392,20317,932.51
393,20368,932.51
394,20419,932.49
395,20471,932.52
396,20523,932.50
397,20575,932.44
398,20626,932.53
399,20678,932.49
400,20729,932.51
401,20781,932.46
402,20833,932.47
403,20884,932.48
404,20936,932.50
405,20987,932.52
406,21040,932.45
407,21091,932.47
408,21142,932.49
409,21194,932.51
410,21245,932.50
411,21301,932.57
412,21351,932.49
413,21402,932.49
414,21453,932.52
415,21505,932.57
416,21557,932.45
417,21608,932.47
418,21659,932.46
419,21714,932.50
420,21766,932.46
421,21818,932.46
422,21869,932.47
423,21920,932.51
424,21971,932.49
425,22024,932.45
426,22075,932.49
427,22126,932.52
428,22178,932.53
429,22230,932.52
430,22281,932.54
431,22333,932.55
432,22384,932.50
433,22435,932.53
434,22487,932.49
435,22539,932.51
436,22590,932.53
437,22642,932.49
438,22693,932.52
439,22745,932.49
440,22796,932.49
441,22847,932.48
442,22902,932.51
443,22953,932.51
444,23006,932.50
445,23057,932.51
446,23109,932.52
447,23164,932.48
448,23216,932.45
449,23267,932.48
450,23319,932.49
451,23371,932.52
452,23422,932.54
453,23475,932.51
454,23526,932.49
455,23577,932.48
456,23629,932.55
457,23681,932.51
458,23733,932.50
459,23784,932.53
460,23836,932.49
461,23888,932.52
462,23940,932.52
463,23991,932.48
464,24043,932.47
465,24094,932.47
466,24146,932.47
467,24198,932.53
468,24250,932.48
469,24302,932.51
470,24353,932.59
471,24404,932.51
472,24460,932.55
473,24510,932.44
474,24560,932.47
475,24615,932.47
476,24666,932.49
477,24716,932.49
478,24767,932.43
479,24818,932.42
480,24869,932.46
481,24920,932.45
482,24969,932.43
483,25018,932.44
484,25067,932.51
485,25116,932.48
486,25164,932.46
487,25213,932.45
488,25262,932.45
489,25311,932.51
490,25360,932.43
491,25409,932.49
492,25458,932.52
493,25507,932.48
494,25555,932.53
495,25605,932.44
496,25654,932.46
497,25703,932.46
498,25752,932.52
499,25800,932.46
500,25849,932.45
501,25899,932.48
502,25950,932.49
503,26005,932.51
504,26056,932.51
505,26107,932.51
506,26160,932.49
507,26211,932.49
508,26261,932.52
509,26312,932.47
510,26363,932.51
511,26415,932.46
512,26466,932.46
513,26518,932.45
514,26567,932.43
515,26618,932.45
516,26670,932.49
517,26721,932.51
518,26771,932.46
519,26821,932.50
520,26872,932.50
521,26924,932.49
522,26976,932.52
523,27027,932.47
524,27079,932.53
525,27130,932.47
526,27182,932.48
527,27233,932.49
528,27285,932.57
529,27336,932.47
530,27388,932.49
531,27440,932.50
532,27499,932.46
533,27548,932.53
534,27598,932.52
535,27648,932.52
536,27697,932.47
537,27747,932.55
538,27797,932.57
539,27846,932.57
540,27895,932.48
541,27947,932.50
542,27995,932.51
543,28044,932.52
544,28093,932.49
545,28142,932.52
546,28192,932.49
547,28241,932.55
548,28292,932.50
549,28341,932.49
550,28390,932.52
551,28441,932.50
552,28489,932.47
553,28539,932.55
554,28591,932.50
555,28640,932.47
556,28689,932.48
557,28740,932.54
558,28789,932.49
559,28838,932.49
560,28893,932.54
561,28945,932.53
562,28999,932.49
563,29051,932.58
564,29103,932.53
565,29155,932.53
566,29206,932.51
567,29256,932.50
568,29307,932.51
569,29359,932.52
570,29411,932.54
571,29462,932.50
572,29513,932.51
573,29565,932.51
574,29617,932.47
575,29668,932.49
576,29719,932.55
577,29771,932.53
578,29822,932.47
579,29874,932.47
580,29926,932.53
581,29977,932.52
582,30028,932.55
583,30080,932.54
584,30131,932.50
585,30183,932.61
586,30234,932.47
587,30286,932.51
588,30341,932.46
589,30393,932.47
590,30444,932.52
591,30495,932.53
592,30551,932.52
593,30602,932.59
594,30654,932.55
595,30705,932.57
596,30757,932.56
597,30809,932.54
598,30860,932.57
599,30912,932.55
600,30964,932.51
601,31015,932.52
602,31068,932.54
603,31120,932.50
604,31171,932.55
605,31222,932.49
606,31275,932.54
607,31326,932.51
608,31378,932.53
609,31429,932.49
610,31481,932.49
611,31534,932.54
612,31585,932.48
613,31636,932.50
614,31688,932.50
615,31739,932.45
616,31795,932.54
617,31847,932.55
618,31898,932.51
619,31950,932.50
620,32002,932.55
621,32054,932.46
622,32108,932.47
623,32159,932.55
624,32211,932.56
625,32264,932.53
626,32315,932.55
627,32367,932.52
628,32418,932.52
629,32470,932.52
630,32522,932.55
631,32573,932.52
632,32625,932.48
633,32676,932.48
634,32729,932.55
635,32780,932.48
636,32832,932.52
637,32883,932.49
638,32935,932.50
639,32987,932.56
640,33039,932.48
641,33090,932.49
642,33142,932.51
643,33193,932.52
644,33249,932.54
645,33300,932.51
646,33351,932.52
647,33403,932.48
648,33455,932.54
649,33507,932.48
650,33559,932.56
651,33610,932.55
652,33665,932.51
653,33715,932.55
654,33766,932.53
655,33818,932.54
656,33869,932.50
657,33922,932.47
658,33973,932.51
659,34024,932.54
660,34076,932.51
661,34127,932.52
662,34179,932.50
663,34231,932.50
664,34282,932.49
665,34334,932.54
666,34385,932.54
667,34437,932.48
668,34488,932.49
669,34540,932.54
670,34591,932.51
671,34643,932.49
672,34699,932.52
673,34750,932.53
674,34801,932.54
675,34853,932.55
676,34905,932.54
677,34956,932.51
678,35007,932.51
679,35059,932.53
680,35110,932.48
681,35163,932.58
682,35214,932.51
683,35259,932.50
684,35310,932.54
685,35362,932.55
686,35412,932.52
687,35464,932.53
688,35516,932.51
689,35567,932.55
690,35618,932.57
691,35671,932.56
692,35722,932.51
693,35773,932.48
694,35824,932.50
695,35876,932.51
696,35928,932.53
697,35980,932.52
698,36031,932.51
699,36082,932.53
700,36137,932.52
701,36189,932.50
702,36241,932.52
703,36292,932.52
704,36344,932.49
705,36396,932.51
706,36448,932.52
707,36499,932.52
708,36551,932.60
709,36602,932.52
710,36655,932.51
711,36706,932.51
712,36758,932.52
713,36813,932.46
714,36864,932.51
715,36914,932.50
716,36965,932.51
717,37016,932.53
718,37067,932.50
719,37117,932.59
720,37167,932.53
721,37216,932.52
722,37265,932.52
723,37313,932.53
724,37362,932.49
725,37411,932.51
726,37460,932.55
727,37510,932.53
728,37562,932.49
729,37614,932.52
730,37665,932.51
731,37716,932.48
732,37768,932.50
733,37819,932.47
734,37871,932.52
735,37922,932.52
736,37974,932.54
737,38026,932.58
738,38077,932.48
739,38128,932.55
740,38179,932.51
741,38231,932.51
742,38282,932.51
743,38336,932.52
744,38388,932.47
745,38439,932.52
746,38491,932.52
747,38542,932.47
748,38593,932.52
749,38644,932.49
750,38696,932.52
751,38748,932.52
752,38799,932.55
753,38850,932.53
754,38902,932.50
755,38953,932.52
756,39005,932.51
757,39058,932.54
758,39109,932.55
759,39161,932.53
760,39213,932.51
761,39264,932.58
762,39315,932.54
763,39366,932.54
764,39417,932.55
765,39470,932.57
766,39521,932.56
767,39572,932.53
768,39624,932.55
769,39675,932.56
770,39727,932.53
771,39778,932.52
772,39829,932.53
773,39883,932.56
774,39936,932.53
775,39987,932.53
776,40039,932.57
777,40090,932.52
778,40141,932.55
779,40194,932.52
780,40245,932.52
781,40296,932.50
782,40348,932.52
783,40399,932.48
784,40452,932.50
785,40507,932.53
786,40558,932.51
787,40609,932.56
788,40660,932.55
789,40713,932.52
790,40764,932.54
791,40816,932.50
792,40867,932.57
793,40920,932.55
794,40971,932.56
795,41022,932.52
796,41074,932.49
797,41125,932.50
798,41178,932.49
799,41229,932.53
800,41281,932.52
801,41332,932.46
802,41383,932.52
803,41438,932.55
804,41490,932.52
805,41542,932.52
806,41593,932.53
807,41646,932.50
808,41697,932.54
809,41749,932.53
810,41800,932.53
811,41851,932.53
812,41904,932.54
813,41959,932.55
814,42011,932.53
815,42063,932.52
816,42115,932.51
817,42167,932.53
818,42218,932.55
819,42269,932.57
820,42321,932.52
821,42374,932.52
822,42425,932.53
823,42477,932.53
824,42528,932.50
825,42580,932.51
826,42632,932.53
827,42683,932.45
828,42735,932.50
829,42787,932.51
830,42839,932.53
831,42891,932.53
832,42942,932.49
833,42997,932.58
834,43048,932.52
835,43100,932.53
836,43152,932.51
837,43203,932.51
838,43255,932.49
839,43307,932.48
840,43359,932.54
841,43414,932.53
842,43465,932.51
843,43516,932.52
844,43569,932.52
845,43621,932.52
846,43672,932.52
847,43724,932.54
848,43776,932.51
849,43828,932.52
850,43879,932.52
851,43931,932.51
852,43982,932.53
853,44035,932.54
854,44086,932.53
855,44138,932.51
856,44189,932.52
857,44241,932.53
858,44293,932.56
859,44345,932.53
860,44396,932.52
861,44448,932.51
862,44499,932.50
863,44555,932.51
864,44605,932.55
865,44656,932.46
866,44707,932.55
867,44759,932.50
868,44811,932.49
869,44866,932.55
870,44917,932.53
871,44968,932.52
872,45021,932.53
873,45072,932.49
874,45123,932.52
875,45174,932.47
876,45227,932.45
877,45278,932.52
878,45329,932.48
879,45380,932.44
880,45432,932.51
881,45484,932.50
882,45535,932.52
883,45586,932.55
884,45638,932.52
885,45689,932.55
886,45741,932.52
887,45793,932.48
888,45844,932.53
889,45895,932.46
890,45946,932.51
891,45998,932.49
892,46050,932.48
893,46104,932.52
894,46156,932.49
895,46208,932.52
896,46260,932.56
897,46314,932.51
898,46365,932.54
899,46417,932.53
900,46469,932.54
901,46521,932.47
902,46572,932.53
903,46624,932.52
904,46675,932.53
905,46728,932.53
906,46779,932.50
907,46830,932.53
908,46882,932.48
909,46935,932.51
910,46986,932.47
911,47038,932.53
912,47089,932.54
913,47140,932.55
914,47193,932.55
915,47244,932.51
916,47296,932.52
917,47347,932.55
918,47399,932.53
919,47451,932.53
920,47503,932.54
921,47554,932.52
922,47605,932.50
923,47661,932.47
924,47712,932.48
925,47768,932.46
926,47819,932.50
927,47872,932.53
928,47923,932.51
929,47974,932.46
930,48026,932.51
931,48077,932.49
932,48130,932.45
933,48181,932.49
934,48233,932.50
935,48284,932.47
936,48336,932.45
937,48388,932.52
938,48439,932.51
939,48491,932.53
940,48542,932.52
941,48594,932.49
942,48646,932.47
943,48698,932.54
944,48749,932.47
945,48800,932.46
946,48852,932.51
947,48904,932.51
948,48956,932.50
949,49008,932.49
950,49059,932.51
951,49112,932.51
952,49163,932.49
953,49217,932.50
954,49272,932.48
955,49324,932.52
956,49375,932.47
957,49426,932.51
958,49477,932.49
959,49528,932.49
960,49580,932.52
961,49632,932.51
962,49683,932.50
963,49734,932.50
964,49785,932.48
965,49837,932.47
966,49889,932.55
967,49940,932.45
968,49991,932.46
969,50042,932.46
970,50094,932.50
971,50145,932.53
972,50196,932.49
973,50248,932.53
974,50299,932.49
975,50351,932.50
976,50402,932.51
977,50453,932.53
978,50504,932.49
979,50556,932.50
980,50608,932.48
981,50663,932.52
982,50714,932.52
983,50764,932.51
984,50817,932.49
985,50868,932.47
986,50920,932.47
987,50971,932.48
988,51022,932.53
989,51075,932.56
990,51126,932.55
991,51177,932.52
992,51226,932.51
993,51275,932.53
994,51326,932.50
995,51378,932.50
996,51429,932.48
997,51480,932.50
998,51531,932.50
999,51580,932.53
1000,51631,932.46
1001,51683,932.45
1002,51734,932.50
1003,51785,932.54
1004,51837,932.50
1005,51889,932.47
1006,51940,932.49
1007,51992,932.47
1008,52043,932.50
1009,52094,932.47
1010,52150,932.53
1011,52201,932.46
1012,52252,932.50
1013,52307,932.55
1014,52358,932.54
1015,52409,932.51
1016,52460,932.45
1017,52511,932.52
1018,52563,932.51
1019,52615,932.50
1020,52666,932.52
1021,52718,932.46
1022,52769,932.53
1023,52820,932.50
1024,52872,932.50
1025,52923,932.46
1026,52975,932.46
1027,53026,932.52
1028,53078,932.46
1029,53130,932.52
1030,53181,932.48
1031,53232,932.48
1032,53284,932.53
1033,53336,932.47
1034,53387,932.48
1035,53439,932.51
1036,53490,932.50
1037,53541,932.48
1038,53597,932.52
1039,53649,932.52
1040,53700,932.51
1041,53752,932.50
1042,53797,932.50
1043,53849,932.50
1044,53901,932.50
1045,53952,932.49
1046,54004,932.49
1047,54054,932.47
1048,54106,932.49
1049,54157,932.47
1050,54209,932.48
1051,54260,932.47
1052,54311,932.49
1053,54364,932.49
1054,54415,932.49
1055,54466,932.48
1056,54517,932.51
1057,54569,932.53
1058,54621,932.49
1059,54672,932.52
1060,54724,932.52
1061,54775,932.50
1062,54827,932.50
1063,54879,932.53
1064,54930,932.47
1065,54981,932.53
1066,55036,932.53
1067,55089,932.55
1068,55140,932.48
1069,55192,932.52
1070,55246,932.50
1071,55297,932.50
1072,55348,932.50
1073,55400,932.49
1074,55451,932.51
1075,55502,932.52
1076,55555,932.51
1077,55606,932.56
1078,55657,932.53
1079,55708,932.52
1080,55760,932.52
1081,55812,932.49
1082,55864,932.48
1083,55915,932.50
1084,55966,932.50
1085,56018,932.52
1086,56070,932.53
1087,56121,932.49
1088,56172,932.53
1089,56224,932.53
1090,56275,932.49
1091,56327,932.49
1092,56379,932.49
1093,56430,932.52
1094,56485,932.53
1095,56537,932.53
1096,56589,932.50
1097,56639,932.55
1098,56693,932.51
1099,56745,932.49
1100,56797,932.51
1101,56848,932.51
1102,56899,932.51
1103,56951,932.52
1104,57003,932.49
1105,57054,932.49
1106,57106,932.51
1107,57157,932.54
1108,57209,932.50
1109,57261,932.56
1110,57312,932.48
1111,57363,932.50
1112,57415,932.52
1113,57466,932.51
1114,57518,932.49
1115,57570,932.50
1116,57621,932.51
1117,57672,932.53
1118,57723,932.51
1119,57776,932.49
1120,57827,932.51
1121,57878,932.53
1122,57933,932.53
1123,57986,932.50
1124,58037,932.49
1125,58088,932.49
1126,58140,932.53
1127,58194,932.51
1128,58246,932.52
1129,58298,932.49
1130,58349,932.52
1131,58401,932.45
1132,58452,932.52
1133,58505,932.49
1134,58556,932.47
1135,58608,932.47
1136,58659,932.49
1137,58711,932.48
1138,58763,932.50
1139,58814,932.47
1140,58866,932.47
1141,58917,932.51
1142,58969,932.51
1143,59021,932.50
1144,59072,932.49
1145,59124,932.47
1146,59175,932.49
1147,59228,932.49
1148,59279,932.51
1149,59330,932.50
1150,59385,932.53
1151,59437,932.46
1152,59489,932.52
1153,59540,932.52
1154,59592,932.52
1155,59646,932.53
1156,59697,932.49
1157,59748,932.51
1158,59799,932.50
1159,59850,932.50
1160,59902,932.53
1161,59954,932.54
1162,60005,932.53
1163,60057,932.50
1164,60108,932.50
1165,60160,932.53
1166,60211,932.49
1167,60262,932.51
1168,60314,932.49
1169,60365,932.50
1170,60417,932.56
1171,60469,932.53
1172,60520,932.51
1173,60571,932.50
1174,60622,932.47
1175,60674,932.52
1176,60726,932.54
1177,60777,932.50
1178,60832,932.53
1179,60883,932.53
1180,60935,932.50
1181,60987,932.47
1182,61038,932.50
1183,61089,932.51
1184,61145,932.52
1185,61196,932.50
1186,61247,932.50
1187,61298,932.49
1188,61349,932.50
1189,61401,932.49
1190,61452,932.53
1191,61504,932.53
1192,61555,932.53
1193,61606,932.52
1194,61658,932.45
1195,61709,932.49
1196,61760,932.53
1197,61811,932.51
1198,61863,932.50
1199,61915,932.51
1200,61966,932.52
1201,62017,932.54
1202,62068,932.52
1203,62119,932.53
1204,62171,932.54
1205,62223,932.53
1206,62277,932.50
1207,62328,932.55
1208,62379,932.55
1209,62429,932.54
1210,62480,932.53
1211,62532,932.56
1212,62584,932.52
1213,62636,932.49
1214,62687,932.54
1215,62738,932.52
1216,62790,932.51
1217,62841,932.51
1218,62891,932.53
1219,62941,932.53
1220,62993,932.51
1221,63044,932.54
1222,63093,932.56
1223,63143,932.48
1224,63196,932.51
1225,63247,932.54
1226,63298,932.53
1227,63350,932.52
1228,63401,932.52
1229,63453,932.52
1230,63504,932.53
1231,63556,932.50
1232,63607,932.53
1233,63659,932.54
1234,63711,932.54
1235,63765,932.53
1236,63816,932.55
1237,63867,932.54
1238,63920,932.49
1239,63971,932.58
1240,64022,932.53
1241,64077,932.57
1242,64129,932.54
1243,64180,932.54
1244,64232,932.53
1245,64283,932.56
1246,64334,932.52
1247,64387,932.54
1248,64438,932.55
1249,64490,932.56
1250,64541,932.51
1251,64593,932.56
1252,64645,932.57
1253,64697,932.53
1254,64748,932.53
1255,64800,932.55
1256,64851,932.56
1257,64904,932.57
1258,64956,932.53
1259,65007,932.55
1260,65059,932.54
1261,65111,932.54
1262,65163,932.52
1263,65216,932.54
1264,65268,932.52
1265,65320,932.54
1266,65372,932.49
1267,65424,932.53
1268,65475,932.49
1269,65530,932.55
1270,65582,932.43
1271,65634,932.52
1272,65685,932.49
1273,65737,932.48
1274,65788,932.46
1275,65841,932.51
1276,65892,932.51
1277,65944,932.54
1278,65995,932.53
1279,66048,932.54
1280,66100,932.52
1281,66151,932.55
1282,66202,932.54
1283,66254,932.52
1284,66306,932.50
1285,66357,932.53
1286,66409,932.54
1287,66461,932.54
1288,66512,932.54
1289,66565,932.53
1290,66616,932.51
1291,66671,932.56
1292,66722,932.55
1293,66775,932.51
1294,66826,932.53
1295,66878,932.55
1296,66929,932.50
1297,66981,932.49
1298,67026,932.54
1299,67078,932.54
1300,67129,932.51
1301,67181,932.54
1302,67232,932.50
1303,67283,932.50
1304,67335,932.53
1305,67386,932.51
1306,67437,932.52
1307,67488,932.56
1308,67539,932.50
1309,67592,932.52
1310,67643,932.57
1311,67694,932.53
1312,67746,932.45
1313,67798,932.54
1314,67849,932.47
1315,67900,932.50
1316,67952,932.54
1317,68003,932.54
1318,68055,932.53
1319,68110,932.51
1320,68162,932.54
1321,68213,932.52
1322,68265,932.54
1323,68317,932.46
1324,68368,932.46
1325,68420,932.53
1326,68475,932.46
1327,68526,932.47
1328,68577,932.54
1329,68628,932.54
1330,68679,932.50
1331,68730,932.50
1332,68783,932.53
1333,68834,932.54
1334,68885,932.56
1335,68937,932.48
1336,68988,932.56
1337,69040,932.50
1338,69092,932.53
1339,69143,932.49
1340,69194,932.57
1341,69245,932.54
1342,69298,932.56
1343,69349,932.56
1344,69401,932.55
1345,69452,932.50
1346,69504,932.60
1347,69559,932.56
1348,69610,932.46
1349,69662,932.53
1350,69713,932.47
1351,69766,932.55
1352,69817,932.54
1353,69868,932.52
1354,69923,932.51
1355,69975,932.51
1356,70026,932.56
1357,70078,932.55
1358,70130,932.49
1359,70181,932.51
1360,70234,932.57
1361,70285,932.54
1362,70337,932.46
1363,70388,932.47
1364,70440,932.51
1365,70492,932.50
1366,70544,932.51
1367,70595,932.53
1368,70647,932.55
1369,70699,932.54
1370,70751,932.47
1371,70802,932.44
1372,70854,932.46
1373,70905,932.54
1374,70958,932.49
1375,71013,932.49
1376,71064,932.49
1377,71116,932.54
1378,71166,932.53
1379,71218,932.56
1380,71269,932.54
1381,71321,932.42
1382,71372,932.48
1383,71428,932.46
1384,71479,932.53
1385,71530,932.51
1386,71581,932.50
1387,71633,932.44
1388,71685,932.51
1389,71736,932.52
1390,71788,932.53
1391,71839,932.48
1392,71891,932.48
1393,71943,932.52
1394,71994,932.54
1395,72046,932.53
1396,72097,932.47
1397,72150,932.53
1398,72201,932.50
1399,72252,932.48
1400,72304,932.47
1401,72355,932.45
1402,72407,932.52
1403,72462,932.50
1404,72514,932.54
1405,72566,932.53
1406,72616,932.42
1407,72668,932.44
1408,72719,932.54
1409,72771,932.46
1410,72822,932.50
1411,72877,932.49
1412,72929,932.55
1413,72980,932.50
1414,73031,932.48
1415,73083,932.54
1416,73134,932.48
1417,73184,932.49
1418,73235,932.48
1419,73287,932.54
1420,73338,932.52
1421,73388,932.49
1422,73437,932.56
1423,73486,932.54
1424,73535,932.51
1425,73584,932.52
1426,73633,932.54
1427,73682,932.54
1428,73731,932.54
1429,73780,932.50
1430,73829,932.49
1431,73882,932.51
1432,73931,932.48
1433,73980,932.52
1434,74030,932.55
1435,74079,932.52
1436,74127,932.54
1437,74176,932.54
1438,74225,932.52
1439,74274,932.50
1440,74328,932.53
1441,74379,932.48
1442,74431,932.50
1443,74482,932.54
1444,74533,932.54
1445,74586,932.51
1446,74637,932.51
1447,74688,932.54
1448,74740,932.44
1449,74791,932.48
1450,74843,932.55
1451,74895,932.51
1452,74946,932.50
1453,74997,932.51
1454,75049,932.54
1455,75101,932.56
1456,75152,932.52
1457,75203,932.49
1458,75255,932.45
1459,75307,932.57
1460,75362,932.56
1461,75414,932.52
1462,75465,932.53
1463,75516,932.46
1464,75568,932.53
1465,75620,932.53
1466,75671,932.49
1467,75722,932.57
1468,75778,932.54
1469,75830,932.52
1470,75881,932.50
1471,75933,932.50
1472,75984,932.50
1473,76037,932.47
1474,76088,932.55
1475,76140,932.61
1476,76191,932.49
1477,76243,932.50
1478,76296,932.53
1479,76347,932.54
1480,76398,932.49
1481,76450,932.46
1482,76503,932.58
1483,76554,932.45
1484,76606,932.48
1485,76657,932.48
1486,76709,932.52
1487,76761,932.49
1488,76816,932.49
1489,76868,932.48
1490,76919,932.49
1491,76972,932.50
1492,77023,932.49
1493,77075,932.49
1494,77126,932.52
1495,77178,932.56
1496,77230,932.59
1497,77285,932.50
1498,77335,932.56
1499,77386,932.56
