n,t,p
0,53,932.44
1,116,932.52
2,167,932.52
3,218,932.47
4,269,932.51
5,320,932.50
6,371,932.42
7,422,932.50
8,474,932.48
9,524,932.51
10,574,932.57
11,625,932.51
12,677,932.47
13,727,932.54
14,777,932.48
15,828,932.48
16,880,932.53
17,931,932.47
18,983,932.49
19,1035,932.51
20,1086,932.53
21,1137,932.46
22,1189,932.46
23,1241,932.50
24,1292,932.52
25,1343,932.47
26,1398,932.49
27,1451,932.50
28,1502,932.53
29,1553,932.53
30,1604,932.46
31,1656,932.49
32,1708,932.54
33,1759,932.56
34,1811,932.49
35,1862,932.50
36,1913,932.47
37,1968,932.49
38,2018,932.47
39,2069,932.51
40,2120,932.48
41,2172,932.47
42,2224,932.45
43,2276,932.43
44,2327,932.47
45,2378,932.45
46,2429,932.46
47,2481,932.42
48,2533,932.46
49,2584,932.46
50,2635,932.53
51,2688,932.51
52,2739,932.49
53,2790,932.50
54,2847,932.48
55,2898,932.56
56,2950,932.56
57,3002,932.48
58,3053,932.47
59,3104,932.46
60,3156,932.49
61,3208,932.48
62,3259,932.49
63,3310,932.44
64,3362,932.41
65,3414,932.47
66,3465,932.43
67,3517,932.44
68,3568,932.46
69,3619,932.49
70,3672,932.50
71,3726,932.47
72,3778,932.50
73,3829,932.45
74,3880,932.51
75,3933,932.48
76,3984,932.46
77,4035,932.43
78,4086,932.50
79,4139,932.50
80,4190,932.49
81,4242,932.47
82,4296,932.48
83,4348,932.51
84,4400,932.51
85,4452,932.46
86,4503,932.44
87,4555,932.47
88,4606,932.43
89,4659,932.43
90,4710,932.45
91,4762,932.48
92,4813,932.43
93,4866,932.48
94,4917,932.48
95,4969,932.50
96,5020,932.49
97,5072,932.54
98,5124,932.51
99,5176,932.50
100,5227,932.49
101,5279,932.50
102,5330,932.52
103,5383,932.50
104,5434,932.49
105,5489,932.52
106,5539,932.55
107,5591,932.51
108,5642,932.53
109,5693,932.52
110,5748,932.53
111,5800,932.50
112,5852,932.54
113,5904,932.54
114,5955,932.52
115,6007,932.51
116,6059,932.48
117,6111,932.53
118,6162,932.51
119,6213,932.49
120,6265,932.49
121,6317,932.47
122,6369,932.46
123,6420,932.54
124,6471,932.49
125,6523,932.51
126,6575,932.50
127,6626,932.45
128,6678,932.48
129,6729,932.43
130,6780,932.45
131,6833,932.47
132,6884,932.47
133,6936,932.52
134,6987,932.50
135,7038,932.50
136,7091,932.48
137,7145,932.47
138,7199,932.53
139,7250,932.53
140,7301,932.48
141,7352,932.50
142,7403,932.51
143,7454,932.50
144,7505,932.48
145,7558,932.50
146,7609,932.49
147,7660,932.49
148,7711,932.49
149,7763,932.50
150,7815,932.49
151,7866,932.50
152,7917,932.46
153,7969,932.46
154,8020,932.50
155,8072,932.51
156,8123,932.51
157,8174,932.53
158,8226,932.49
159,8278,932.47
160,8329,932.49
161,8380,932.49
162,8432,932.50
163,8483,932.50
164,8535,932.45
165,8586,932.46
166,8641,932.47
167,8692,932.51
168,8744,932.49
169,8799,932.45
170,8849,932.49
171,8900,932.43
172,8951,932.51
173,9003,932.48
174,9054,932.53
175,9106,932.49
176,9157,932.54
177,9208,932.51
178,9261,932.52
179,9312,932.49
180,9363,932.52
181,9414,932.53
182,9466,932.51
183,9518,932.52
184,9569,932.49
185,9620,932.50
186,9672,932.50
187,9723,932.49
188,9775,932.51
189,9826,932.53
190,9877,932.48
191,9929,932.50
192,9980,932.49
193,10033,932.50
194,10088,932.51
195,10139,932.53
196,10190,932.52
197,10242,932.52
198,10293,932.53
199,10345,932.51
200,10396,932.51
201,10451,932.47
202,10503,932.54
203,10554,932.51
204,10606,932.50
205,10657,932.51
206,10710,932.48
207,10761,932.50
208,10813,932.46
209,10864,932.50
210,10915,932.53
211,10968,932.52
212,11019,932.49
213,11071,932.47
214,11122,932.53
215,11174,932.54
216,11226,932.49
217,11278,932.56
218,11329,932.51
219,11381,932.51
220,11432,932.51
221,11484,932.54
222,11539,932.51
223,11591,932.51
