n,t,p
0,110,932.78
1,161,932.70
2,212,932.71
3,264,932.71
4,313,932.72
5,364,932.73
6,415,932.76
7,466,932.76
8,519,932.76
9,570,932.74
10,619,932.72
11,670,932.76
12,721,932.76
13,773,932.77
14,823,932.75
15,873,932.77
16,924,932.76
17,976,932.70
18,1028,932.70
19,1080,932.75
20,1131,932.76
21,1182,932.77
22,1234,932.75
23,1286,932.73
24,1341,932.72
25,1392,932.76
26,1444,932.73
27,1496,932.75
28,1547,932.73
29,1599,932.71
30,1650,932.73
31,1701,932.73
32,1754,932.76
33,1805,932.75
34,1856,932.74
35,1908,932.72
36,1963,932.79
37,2013,932.74
38,2064,932.74
39,2115,932.78
40,2167,932.71
41,2219,932.72
42,2270,932.74
43,2321,932.77
44,2373,932.72
45,2424,932.70
46,2476,932.68
47,2528,932.72
48,2579,932.75
49,2630,932.73
50,2681,932.70
51,2734,932.73
52,2790,932.74
53,2841,932.74
54,2893,932.75
55,2945,932.72
56,2996,932.74
57,3048,932.67
58,3099,932.72
59,3150,932.76
60,3202,932.78
61,3254,932.68
62,3305,932.71
63,3356,932.76
64,3408,932.76
65,3460,932.70
66,3511,932.73
67,3562,932.71
68,3614,932.74
69,3665,932.74
70,3721,932.71
71,3772,932.75
72,3823,932.73
73,3875,932.76
74,3927,932.69
75,3978,932.78
76,4030,932.76
77,4081,932.74
78,4132,932.72
79,4184,932.80
80,4239,932.75
81,4291,932.76
82,4342,932.81
83,4393,932.75
84,4445,932.77
85,4497,932.73
86,4548,932.73
87,4599,932.76
88,4652,932.73
89,4703,932.73
90,4754,932.75
91,4806,932.77
92,4857,932.79
93,4909,932.76
94,4961,932.70
95,5012,932.74
96,5063,932.73
97,5115,932.81
98,5167,932.71
99,5219,932.74
100,5270,932.69
101,5321,932.75
102,5373,932.75
103,5425,932.73
104,5479,932.73
105,5531,932.76
106,5583,932.75
107,5635,932.68
108,5690,932.72
109,5742,932.75
110,5793,932.75
111,5846,932.72
112,5897,932.71
113,5949,932.69
114,6000,932.68
115,6052,932.71
116,6104,932.71
117,6156,932.67
118,6207,932.73
119,6259,932.72
120,6310,932.70
121,6363,932.75
122,6414,932.73
123,6466,932.74
124,6517,932.72
125,6569,932.70
126,6621,932.73
127,6673,932.68
128,6724,932.71
129,6776,932.70
130,6828,932.66
131,6880,932.72
132,6931,932.71
133,6983,932.66
134,7034,932.76
135,7087,932.67
136,7146,932.70
137,7197,932.69
138,7249,932.70
139,7301,932.67
140,7353,932.71
141,7404,932.67
142,7455,932.67
143,7507,932.69
144,7559,932.77
145,7611,932.72
146,7662,932.73
147,7714,932.71
148,7781,932.73
149,7832,932.77
150,7882,932.74
151,7932,932.76
152,7984,932.76
153,8033,932.76
154,8082,932.73
155,8131,932.71
156,8180,932.76
157,8229,932.73
158,8278,932.71
159,8327,932.73
160,8376,932.67
161,8425,932.71
162,8474,932.72
163,8523,932.71
164,8576,932.70
165,8626,932.73
166,8675,932.74
167,8724,932.73
168,8778,932.70
169,8829,932.72
170,8880,932.69
171,8930,932.71
172,8981,932.78
173,9031,932.77
174,9081,932.73
175,9133,932.75
176,9183,932.73
177,9234,932.70
178,9284,932.70
179,9334,932.69
180,9384,932.70
181,9436,932.74
182,9486,932.73
183,9536,932.66
184,9586,932.74
185,9637,932.75
186,9688,932.78
187,9739,932.74
188,9789,932.78
189,9839,932.75
190,9889,932.76
191,9940,932.76
192,9995,932.77
193,10046,932.77
194,10098,932.71
195,10149,932.75
196,10202,932.73
197,10253,932.73
198,10305,932.69
199,10356,932.68
200,10412,932.75
201,10462,932.74
202,10513,932.68
203,10564,932.76
204,10616,932.72
205,10668,932.77
206,10719,932.74
207,10770,932.75
208,10822,932.76
209,10873,932.80
210,10926,932.73
211,10977,932.75
212,11028,932.76
213,11080,932.77
214,11131,932.76
215,11183,932.78
216,11235,932.75
217,11286,932.76
218,11338,932.75
219,11389,932.77
220,11445,932.75
221,11496,932.80
222,11548,932.74
223,11599,932.71
224,11652,932.76
225,11703,932.76
226,11755,932.80
227,11807,932.71
228,11858,932.74
229,11911,932.75
230,11965,932.71
231,12015,932.78
232,12066,932.74
233,12118,932.74
234,12169,932.77
235,12220,932.78
236,12269,932.71
237,12318,932.70
238,12367,932.76
239,12417,932.71
240,12466,932.74
241,12515,932.73
242,12564,932.77
243,12612,932.73
244,12661,932.76
245,12710,932.74
246,12760,932.76
247,12808,932.75
248,12861,932.68
249,12913,932.72
250,12964,932.78
251,13016,932.68
252,13067,932.76
253,13119,932.79
254,13170,932.77
255,13221,932.73
256,13273,932.74
257,13325,932.73
258,13376,932.77
259,13427,932.72
260,13481,932.72
261,13533,932.78
262,13584,932.75
263,13636,932.78
264,13687,932.71
265,13739,932.75
266,13790,932.71
267,13842,932.77
268,13893,932.79
269,13944,932.77
270,13996,932.73
271,14048,932.76
272,14099,932.74
273,14150,932.78
274,14201,932.71
275,14253,932.80
276,14304,932.71
277,14360,932.72
278,14412,932.76
279,14464,932.76
280,14515,932.73
281,14566,932.82
282,14617,932.76
283,14668,932.80
284,14720,932.80
285,14771,932.77
286,14822,932.76
287,14874,932.77
288,14925,932.77
289,14977,932.77
290,15031,932.79
291,15082,932.74
292,15134,932.76
293,15185,932.77
294,15238,932.75
295,15289,932.77
296,15340,932.73
297,15392,932.72
298,15443,932.74
299,15496,932.80
300,15547,932.75
301,15598,932.79
302,15650,932.77
303,15702,932.78
304,15754,932.75
305,15808,932.72
306,15860,932.74
307,15911,932.72
308,15964,932.78
309,16015,932.78
310,16066,932.78
311,16118,932.78
312,16171,932.81
313,16222,932.80
314,16273,932.78
315,16325,932.76
316,16376,932.72
317,16428,932.75
318,16480,932.74
319,16532,932.74
320,16586,932.74
321,16638,932.76
322,16690,932.70
323,16741,932.72
324,16793,932.72
325,16844,932.69
326,16897,932.76
327,16948,932.78
328,16999,932.78
329,17051,932.74
330,17102,932.77
331,17155,932.76
332,17206,932.77
333,17261,932.76
334,17313,932.76
335,17364,932.71
336,17417,932.72
337,17468,932.73
338,17520,932.74
339,17571,932.75
340,17623,932.71
341,17675,932.74
342,17726,932.75
343,17778,932.72
344,17829,932.82
345,17882,932.76
346,17933,932.76
347,17985,932.73
348,18036,932.71
349,18088,932.74
350,18143,932.73
351,18193,932.78
352,18244,932.74
353,18296,932.74
354,18348,932.74
355,18399,932.73
356,18450,932.73
357,18501,932.75
358,18553,932.77
359,18605,932.78
360,18656,932.80
361,18711,932.69
362,18763,932.78
363,18814,932.74
364,18866,932.74
365,18918,932.72
366,18969,932.77
367,19021,932.81
368,19073,932.80
369,19125,932.80
370,19176,932.75
371,19228,932.76
372,19279,932.74
373,19332,932.76
374,19383,932.76
375,19434,932.76
376,19486,932.73
377,19538,932.76
378,19590,932.77
379,19641,932.74
380,19696,932.76
381,19746,932.75
382,19798,932.76
383,19849,932.75
384,19901,932.75
385,19952,932.72
386,20003,932.76
387,20055,932.77
388,20107,932.75
389,20162,932.71
390,20213,932.75
391,20265,932.72
392,20317,932.71
393,20369,932.73
394,20420,932.69
395,20471,932.73
396,20524,932.74
397,20575,932.71
398,20627,932.74
399,20678,932.75
400,20730,932.77
401,20782,932.74
402,20834,932.74
403,20885,932.72
404,20936,932.73
405,20988,932.72
406,21040,932.75
407,21092,932.77
408,21143,932.81
409,21195,932.76
410,21246,932.76
411,21301,932.79
412,21353,932.74
413,21404,932.78
414,21456,932.81
415,21508,932.74
416,21560,932.80
417,21613,932.77
418,21665,932.78
419,21716,932.75
420,21769,932.73
421,21820,932.70
422,21872,932.75
423,21923,932.76
424,21976,932.76
425,22027,932.78
426,22078,932.74
427,22130,932.75
428,22181,932.77
429,22234,932.71
430,22285,932.75
431,22337,932.77
432,22388,932.77
433,22440,932.68
434,22492,932.72
435,22543,932.73
436,22595,932.75
437,22646,932.78
438,22699,932.76
439,22750,932.75
440,22802,932.77
441,22856,932.74
442,22907,932.75
443,22960,932.76
444,23011,932.75
445,23066,932.74
446,23118,932.81
447,23170,932.75
448,23222,932.75
449,23273,932.70
450,23324,932.74
451,23376,932.78
452,23428,932.77
453,23480,932.76
454,23531,932.74
455,23583,932.74
456,23634,932.74
457,23687,932.71
458,23738,932.72
459,23789,932.71
460,23841,932.74
461,23892,932.78
462,23945,932.76
463,23997,932.77
464,24048,932.74
465,24099,932.78
466,24152,932.75
467,24203,932.77
468,24255,932.76
469,24306,932.77
470,24358,932.76
471,24413,932.72
472,24463,932.76
473,24517,932.76
474,24566,932.76
475,24615,932.75
476,24665,932.78
477,24714,932.76
478,24762,932.74
479,24811,932.71
480,24860,932.73
481,24908,932.79
482,24957,932.75
483,25007,932.71
484,25056,932.73
485,25105,932.79
486,25153,932.76
487,25202,932.74
488,25251,932.73
489,25299,932.79
490,25349,932.76
491,25398,932.71
492,25447,932.69
493,25496,932.69
494,25544,932.75
495,25593,932.74
496,25643,932.69
497,25692,932.80
498,25740,932.75
499,25789,932.78
500,25838,932.74
501,25894,932.69
502,25947,932.69
503,25998,932.75
504,26049,932.74
505,26100,932.77
506,26151,932.74
507,26203,932.72
508,26254,932.74
509,26305,932.75
510,26357,932.75
511,26408,932.71
512,26460,932.75
513,26511,932.73
514,26562,932.76
515,26613,932.76
516,26664,932.74
517,26717,932.74
518,26768,932.70
519,26819,932.75
520,26870,932.69
521,26921,932.71
522,26973,932.75
523,27024,932.74
524,27075,932.70
525,27126,932.74
526,27179,932.71
527,27230,932.69
528,27281,932.70
529,27332,932.72
530,27389,932.73
531,27444,932.70
532,27494,932.71
533,27544,932.66
534,27595,932.68
535,27644,932.74
536,27696,932.75
537,27746,932.69
538,27795,932.72
539,27847,932.73
540,27897,932.74
541,27949,932.71
542,27998,932.69
543,28046,932.74
544,28095,932.74
545,28144,932.69
546,28193,932.69
547,28241,932.74
548,28291,932.71
549,28340,932.72
550,28389,932.78
551,28438,932.74
552,28486,932.75
553,28535,932.75
554,28584,932.72
555,28634,932.78
556,28682,932.69
557,28731,932.72
558,28785,932.72
559,28837,932.76
560,28889,932.78
561,28943,932.73
562,28994,932.76
563,29044,932.75
564,29095,932.71
565,29145,932.81
566,29195,932.68
567,29244,932.77
568,29295,932.78
569,29343,932.77
570,29395,932.76
571,29446,932.75
572,29495,932.78
573,29544,932.72
574,29595,932.82
575,29646,932.77
576,29698,932.74
577,29746,932.72
578,29795,932.73
579,29844,932.77
580,29894,932.73
581,29945,932.78
582,29995,932.77
583,30045,932.72
584,30094,932.74
585,30144,932.74
586,30198,932.77
