n,t,p
0,494,932.61
1,543,932.63
2,591,932.68
3,640,932.56
4,689,932.58
5,737,932.63
6,786,932.60
7,835,932.64
8,883,932.61
9,932,932.54
10,980,932.61
11,1029,932.58
12,1077,932.60
13,1126,932.64
14,1174,932.59
15,1223,932.65
16,1272,932.62
17,1321,932.66
18,1370,932.65
19,1419,932.60
20,1467,932.66
21,1516,932.65
22,1565,932.63
23,1614,932.63
24,1662,932.63
25,1712,932.65
26,1764,932.66
27,1818,932.65
28,1868,932.61
29,1916,932.62
30,1966,932.66
31,2015,932.61
32,2063,932.67
33,2112,932.62
34,2160,932.61
35,2209,932.69
36,2257,932.56
37,2307,932.61
38,2356,932.59
39,2405,932.63
40,2453,932.62
41,2502,932.64
42,2550,932.63
43,2599,932.63
44,2648,932.70
45,2697,932.67
46,2745,932.67
47,2794,932.64
48,2843,932.65
49,2892,932.66
50,2941,932.67
51,2990,932.65
52,3039,932.68
53,3087,932.65
54,3136,932.64
55,3185,932.67
56,3238,932.67
57,3291,932.64
58,3342,932.65
59,3394,932.64
60,3448,932.65
61,3500,932.62
62,3552,932.63
63,3604,932.61
64,3655,932.64
65,3707,932.62
66,3759,932.69
67,3810,932.63
68,3862,932.65
69,3913,932.64
70,3965,932.64
71,4017,932.67
72,4069,932.68
73,4120,932.67
74,4172,932.67
75,4224,932.67
76,4276,932.63
77,4327,932.68
78,4379,932.65
79,4430,932.65
80,4483,932.65
81,4534,932.69
82,4586,932.64
83,4637,932.65
84,4692,932.67
85,4745,932.67
86,4796,932.67
87,4848,932.66
88,4899,932.66
89,4952,932.64
90,5003,932.63
91,5055,932.63
92,5106,932.65
93,5158,932.65
94,5213,932.63
95,5264,932.70
96,5314,932.67
97,5366,932.65
98,5417,932.71
99,5469,932.63
100,5521,932.68
101,5572,932.70
102,5623,932.69
103,5676,932.67
104,5727,932.65
105,5778,932.69
106,5830,932.64
107,5881,932.67
108,5933,932.64
109,5985,932.59
110,6036,932.64
111,6087,932.67
112,6142,932.61
113,6195,932.68
114,6246,932.63
115,6297,932.61
116,6348,932.68
117,6401,932.69
118,6452,932.65
119,6504,932.60
120,6555,932.68
121,6606,932.68
122,6658,932.70
123,6710,932.68
124,6761,932.65
125,6812,932.65
126,6867,932.64
127,6920,932.68
128,6971,932.65
129,7023,932.70
130,7074,932.66
131,7126,932.67
132,7178,932.63
133,7230,932.65
134,7281,932.66
135,7333,932.65
136,7385,932.68
137,7437,932.67
138,7488,932.65
139,7540,932.67
140,7596,932.64
141,7647,932.60
142,7699,932.72
143,7750,932.64
144,7802,932.61
145,7854,932.66
146,7905,932.63
147,7957,932.66
148,8008,932.66
149,8060,932.59
150,8112,932.57
151,8164,932.61
152,8215,932.61
153,8266,932.66
154,8318,932.71
155,8370,932.62
156,8421,932.67
157,8473,932.70
158,8527,932.64
159,8580,932.65
160,8631,932.66
161,8682,932.67
162,8734,932.64
163,8785,932.62
164,8837,932.66
165,8889,932.66
166,8940,932.66
167,8992,932.62
168,9046,932.66
169,9098,932.62
170,9149,932.63
171,9200,932.62
172,9252,932.64
173,9304,932.65
174,9356,932.62
175,9407,932.63
176,9458,932.64
177,9510,932.63
178,9562,932.60
179,9613,932.64
180,9665,932.67
181,9716,932.62
182,9768,932.63
183,9820,932.64
184,9871,932.60
185,9923,932.63
186,9974,932.63
187,10025,932.67
188,10078,932.62
189,10129,932.62
190,10184,932.61
191,10235,932.63
192,10287,932.57
193,10338,932.63
194,10389,932.60
195,10440,932.66
196,10496,932.67
197,10547,932.64
198,10598,932.62
199,10649,932.62
200,10699,932.63
201,10749,932.65
202,10801,932.63
203,10852,932.62
204,10903,932.63
205,10952,932.58
206,11001,932.65
207,11051,932.65
208,11100,932.62
209,11148,932.64
210,11197,932.61
211,11245,932.59
212,11294,932.67
213,11343,932.63
214,11393,932.68
215,11441,932.65
216,11490,932.60
217,11539,932.66
218,11587,932.64
