n,t,p
0,66,932.30
1,117,932.34
2,168,932.33
3,224,932.32
4,275,932.40
5,326,932.39
6,377,932.37
7,428,932.35
8,477,932.36
9,527,932.38
10,576,932.40
11,627,932.40
12,675,932.38
