n,t,p
357,18434,932.53
358,18485,932.62
359,18534,932.65
360,18584,932.57
361,18633,932.55
362,18685,932.56
363,18736,932.62
364,18785,932.63
365,18834,932.58
366,18885,932.57
367,18936,932.52
368,18987,932.65
369,19036,932.66
370,19085,932.59
371,19134,932.59
372,19184,932.65
373,19235,932.68
374,19288,932.54
375,19338,932.55
376,19389,932.56
377,19440,932.60
378,19490,932.54
379,19542,932.58
380,19591,932.54
381,19640,932.56
382,19689,932.61
383,19738,932.53
384,19786,932.58
385,19835,932.54
386,19885,932.55
387,19934,932.61
388,19983,932.64
389,20031,932.59
390,20080,932.61
391,20129,932.62
392,20178,932.62
393,20228,932.65
394,20277,932.56
395,20325,932.64
396,20374,932.58
397,20423,932.62
398,20472,932.58
399,20520,932.57
400,20570,932.54
401,20619,932.61
402,20668,932.59
403,20717,932.60
404,20771,932.56
405,20823,932.61
406,20874,932.58
407,20928,932.56
408,20979,932.64
409,21030,932.58
410,21083,932.61
411,21134,932.58
412,21185,932.64
413,21234,932.63
414,21283,932.58
415,21335,932.60
416,21386,932.60
417,21437,932.60
418,21488,932.60
419,21539,932.62
420,21590,932.61
421,21640,932.61
422,21691,932.62
423,21743,932.62
424,21794,932.62
425,21846,932.61
426,21898,932.61
427,21949,932.66
428,22001,932.62
429,22052,932.63
430,22104,932.61
431,22156,932.63
432,22207,932.64
433,22259,932.60
434,22313,932.60
435,22368,932.56
436,22419,932.59
437,22470,932.61
438,22521,932.60
439,22572,932.62
440,22621,932.63
441,22671,932.62
442,22720,932.61
443,22771,932.61
444,22820,932.62
445,22872,932.58
446,22923,932.61
447,22972,932.56
448,23021,932.60
449,23072,932.62
450,23123,932.59
451,23175,932.60
452,23223,932.58
453,23272,932.59
454,23321,932.63
455,23370,932.58
456,23421,932.56
457,23471,932.60
458,23521,932.60
459,23570,932.58
460,23621,932.61
461,23669,932.62
462,23720,932.57
463,23772,932.60
464,23829,932.58
465,23878,932.59
466,23927,932.59
467,23977,932.61
468,24027,932.60
469,24076,932.60
470,24127,932.56
471,24176,932.57
472,24225,932.60
473,24276,932.58
474,24326,932.60
475,24375,932.64
476,24424,932.58
477,24473,932.61
478,24523,932.61
479,24573,932.61
480,24624,932.64
481,24674,932.59
482,24723,932.58
483,24772,932.59
484,24821,932.60
485,24870,932.58
486,24920,932.59
487,24969,932.62
488,25019,932.60
489,25070,932.60
490,25121,932.63
491,25172,932.56
492,25228,932.58
493,25279,932.64
494,25334,932.60
495,25384,932.58
496,25435,932.58
497,25487,932.61
498,25538,932.60
499,25589,932.58
500,25640,932.55
501,25693,932.57
502,25744,932.58
503,25795,932.60
504,25846,932.58
505,25897,932.61
506,25950,932.62
507,26001,932.56
508,26052,932.57
509,26103,932.57
510,26155,932.57
511,26207,932.58
512,26258,932.57
513,26309,932.57
514,26360,932.61
515,26413,932.60
516,26464,932.62
517,26515,932.62
518,26566,932.59
519,26618,932.65
520,26672,932.64
521,26724,932.61
522,26775,932.59
523,26826,932.61
524,26881,932.67
525,26933,932.61
526,26984,932.61
527,27035,932.63
528,27086,932.56
529,27139,932.57
530,27190,932.55
531,27241,932.63
532,27293,932.62
533,27344,932.54
534,27396,932.55
535,27447,932.62
536,27499,932.60
537,27550,932.58
538,27601,932.59
539,27653,932.53
540,27704,932.55
541,27756,932.57
542,27807,932.56
543,27858,932.60
544,27911,932.60
545,27962,932.59
546,28013,932.58
547,28064,932.55
548,28120,932.56
549,28171,932.57
