n,t,p
240,12461,932.59
241,12509,932.60
242,12558,932.60
243,12607,932.57
244,12656,932.58
245,12704,932.57
246,12753,932.58
247,12807,932.56
248,12858,932.58
249,12908,932.57
250,12958,932.58
251,13009,932.59
252,13061,932.59
253,13112,932.58
254,13162,932.59
255,13211,932.54
256,13259,932.54
257,13308,932.57
258,13358,932.51
259,13406,932.59
260,13458,932.54
261,13509,932.55
262,13560,932.56
263,13612,932.58
264,13664,932.55
265,13715,932.55
266,13766,932.55
267,13818,932.54
268,13870,932.54
269,13922,932.58
270,13973,932.60
271,14024,932.57
272,14075,932.56
273,14128,932.56
274,14179,932.55
275,14231,932.60
276,14286,932.51
277,14338,932.58
278,14389,932.61
279,14441,932.59
280,14492,932.56
281,14543,932.54
282,14596,932.53
283,14647,932.54
284,14698,932.57
285,14750,932.55
286,14801,932.52
287,14853,932.56
288,14905,932.56
289,14956,932.55
290,15010,932.54
291,15063,932.56
292,15114,932.54
293,15166,932.53
294,15217,932.57
295,15269,932.57
296,15321,932.57
297,15373,932.51
298,15424,932.54
299,15476,932.55
300,15527,932.52
301,15580,932.56
302,15632,932.59
303,15683,932.60
304,15738,932.52
305,15790,932.57
306,15842,932.55
307,15893,932.54
308,15945,932.50
309,15996,932.58
310,16049,932.56
311,16100,932.60
312,16152,932.62
313,16203,932.52
314,16256,932.58
315,16308,932.53
316,16359,932.54
317,16411,932.60
318,16462,932.58
319,16514,932.57
320,16566,932.58
321,16611,932.54
322,16662,932.56
323,16714,932.59
324,16765,932.50
325,16818,932.57
326,16868,932.58
327,16919,932.62
328,16970,932.57
329,17022,932.55
330,17074,932.61
331,17125,932.56
332,17181,932.58
333,17232,932.57
334,17284,932.58
335,17335,932.63
336,17387,932.56
337,17438,932.55
338,17489,932.56
339,17542,932.58
340,17593,932.54
341,17645,932.58
342,17696,932.57
343,17747,932.57
344,17799,932.55
345,17851,932.55
346,17902,932.58
347,17954,932.57
348,18006,932.55
349,18057,932.59
350,18108,932.56
351,18163,932.56
352,18214,932.54
353,18267,932.59
354,18318,932.58
355,18370,932.67
356,18421,932.58
357,18473,932.54
358,18525,932.56
359,18577,932.64
360,18631,932.62
361,18683,932.61
362,18736,932.61
363,18786,932.62
364,18837,932.59
365,18888,932.62
366,18939,932.55
367,18991,932.55
368,19043,932.54
369,19094,932.61
370,19146,932.53
371,19197,932.54
372,19249,932.56
373,19300,932.53
374,19352,932.61
375,19403,932.58
376,19454,932.57
377,19507,932.61
378,19558,932.62
379,19610,932.57
380,19661,932.58
381,19716,932.55
382,19768,932.62
383,19819,932.57
384,19870,932.55
385,19922,932.59
386,19974,932.55
387,20026,932.62
388,20081,932.58
389,20133,932.62
390,20185,932.56
391,20235,932.55
392,20286,932.57
393,20338,932.56
394,20389,932.56
395,20441,932.62
396,20493,932.62
397,20544,932.58
398,20595,932.64
399,20646,932.58
400,20699,932.62
401,20750,932.57
402,20801,932.58
403,20853,932.56
404,20904,932.55
405,20956,932.64
406,21008,932.58
407,21059,932.55
408,21110,932.53
409,21163,932.55
410,21214,932.56
411,21269,932.56
412,21320,932.60
413,21371,932.58
414,21424,932.62
415,21475,932.55
416,21530,932.59
417,21581,932.60
418,21634,932.56
419,21685,932.57
420,21735,932.58
421,21787,932.66
422,21838,932.58
423,21890,932.60
424,21941,932.65
425,21993,932.67
426,22044,932.63
427,22096,932.56
428,22148,932.64
429,22199,932.60
430,22250,932.62
431,22302,932.59
432,22353,932.64
433,22405,932.61
434,22457,932.56
435,22508,932.62
436,22559,932.56
437,22611,932.62
438,22663,932.64
439,22714,932.61
440,22766,932.58
441,22820,932.63
442,22873,932.65
443,22924,932.61
444,22979,932.59
445,23030,932.62
446,23083,932.60
447,23133,932.61
448,23184,932.65
449,23235,932.60
450,23287,932.59
451,23339,932.62
452,23391,932.64
453,23442,932.60
454,23493,932.59
455,23545,932.64
456,23597,932.60
457,23648,932.64
458,23700,932.59
459,23751,932.59
460,23802,932.59
461,23855,932.58
462,23906,932.59
463,23957,932.59
464,24009,932.60
465,24060,932.58
466,24112,932.58
467,24164,932.52
468,24215,932.57
469,24266,932.60
470,24318,932.60
471,24373,932.57
472,24428,932.57
473,24479,932.54
474,24529,932.57
475,24580,932.57
476,24631,932.58
477,24682,932.58
478,24732,932.58
479,24782,932.60
480,24835,932.58
481,24886,932.58
482,24937,932.62
483,24986,932.62
484,25035,932.60
485,25084,932.59
486,25134,932.62
487,25183,932.62
488,25231,932.60
489,25280,932.56
490,25329,932.60
491,25378,932.58
492,25427,932.60
493,25476,932.58
494,25525,932.59
495,25574,932.54
496,25623,932.54
497,25672,932.52
498,25721,932.56
499,25771,932.59
500,25819,932.63
501,25875,932.61
502,25927,932.60
503,25978,932.60
504,26029,932.62
505,26079,932.60
506,26131,932.61
507,26182,932.59
508,26231,932.60
509,26281,932.59
510,26333,932.59
511,26385,932.59
512,26436,932.58
513,26488,932.59
514,26540,932.58
515,26592,932.62
516,26643,932.61
517,26694,932.61
518,26746,932.58
519,26798,932.61
520,26850,932.58
521,26901,932.60
522,26953,932.59
523,27004,932.59
524,27056,932.58
525,27107,932.51
526,27159,932.56
527,27210,932.56
528,27262,932.59
529,27318,932.56
530,27369,932.58
531,27423,932.54
532,27474,932.58
533,27527,932.56
534,27578,932.56
535,27630,932.57
536,27681,932.53
537,27732,932.56
538,27785,932.56
539,27836,932.53
540,27887,932.57
541,27938,932.56
542,27991,932.58
543,28042,932.56
544,28094,932.55
545,28145,932.64
546,28196,932.59
547,28248,932.57
548,28300,932.55
549,28351,932.61
550,28402,932.61
551,28454,932.58
552,28506,932.60
553,28557,932.58
554,28609,932.55
555,28660,932.56
556,28711,932.51
557,28767,932.60
558,28819,932.55
559,28870,932.56
560,28920,932.59
561,28975,932.53
562,29027,932.58
563,29078,932.57
564,29129,932.58
565,29180,932.59
566,29233,932.59
567,29284,932.58
568,29335,932.54
569,29387,932.54
570,29438,932.57
571,29490,932.60
572,29541,932.58
573,29592,932.68
574,29644,932.53
575,29696,932.57
576,29747,932.53
577,29799,932.60
578,29850,932.56
579,29901,932.56
580,29953,932.55
581,30005,932.57
582,30056,932.56
583,30107,932.50
584,30159,932.53
585,30215,932.56
586,30266,932.58
587,30317,932.55
588,30369,932.55
589,30420,932.53
590,30473,932.51
591,30524,932.56
592,30579,932.57
593,30631,932.55
594,30683,932.62
595,30734,932.54
596,30786,932.55
597,30837,932.56
