n,t,p
0,75,932.54
1,126,932.58
2,178,932.61
3,229,932.61
4,279,932.62
5,330,932.57
6,381,932.56
7,432,932.59
8,483,932.63
9,534,932.57
10,585,932.60
11,636,932.58
12,687,932.61
13,738,932.58
14,789,932.57
15,840,932.58
16,891,932.59
17,942,932.58
18,993,932.55
19,1044,932.53
20,1095,932.58
21,1145,932.59
22,1197,932.57
23,1253,932.53
24,1305,932.54
25,1356,932.58
26,1408,932.56
27,1460,932.55
28,1511,932.57
29,1562,932.57
30,1613,932.57
31,1665,932.58
32,1717,932.57
33,1768,932.55
34,1819,932.53
35,1870,932.60
36,1926,932.60
37,1977,932.58
38,2028,932.59
39,2080,932.62
40,2131,932.63
41,2184,932.61
42,2235,932.53
43,2286,932.61
44,2338,932.56
45,2390,932.62
46,2441,932.58
47,2493,932.58
48,2544,932.65
49,2596,932.63
50,2648,932.65
51,2704,932.63
52,2755,932.57
53,2807,932.63
54,2859,932.63
55,2910,932.58
56,2962,932.65
57,3013,932.57
58,3065,932.58
59,3117,932.62
60,3168,932.61
61,3220,932.63
62,3271,932.63
63,3322,932.55
64,3375,932.60
65,3426,932.62
66,3478,932.63
67,3529,932.62
68,3580,932.60
69,3633,932.59
70,3684,932.62
71,3738,932.57
72,3789,932.64
73,3840,932.62
74,3892,932.58
75,3943,932.58
76,3994,932.65
77,4045,932.61
78,4097,932.61
79,4152,932.55
80,4203,932.57
81,4255,932.60
82,4306,932.64
83,4358,932.63
84,4409,932.63
85,4460,932.60
86,4511,932.59
87,4563,932.59
88,4615,932.60
89,4666,932.59
90,4717,932.56
91,4769,932.60
92,4820,932.56
93,4872,932.58
94,4923,932.59
95,4974,932.61
96,5026,932.55
97,5078,932.55
98,5129,932.60
99,5180,932.58
100,5231,932.59
101,5283,932.64
102,5335,932.60
103,5386,932.58
104,5440,932.58
105,5491,932.58
106,5543,932.58
107,5599,932.56
108,5650,932.54
109,5701,932.54
110,5753,932.58
111,5805,932.57
112,5857,932.57
113,5908,932.61
114,5959,932.64
115,6010,932.62
116,6063,932.57
117,6114,932.61
118,6165,932.57
119,6217,932.58
120,6268,932.66
121,6321,932.58
122,6372,932.61
123,6423,932.57
124,6475,932.57
125,6526,932.65
126,6578,932.54
127,6630,932.59
128,6681,932.57
129,6733,932.58
130,6785,932.56
131,6836,932.58
132,6888,932.55
133,6939,932.65
134,6990,932.62
135,7046,932.55
136,7101,932.64
137,7152,932.54
138,7203,932.65
139,7256,932.58
140,7306,932.63
141,7357,932.62
142,7408,932.60
143,7459,932.63
144,7512,932.62
145,7563,932.62
146,7614,932.59
147,7665,932.62
148,7716,932.60
149,7769,932.58
150,7820,932.57
151,7871,932.58
152,7922,932.53
153,7973,932.62
154,8026,932.58
155,8077,932.53
156,8128,932.60
157,8179,932.59
158,8230,932.61
159,8283,932.58
160,8334,932.57
161,8385,932.59
162,8436,932.62
163,8492,932.58
164,8543,932.60
165,8595,932.62
166,8645,932.55
167,8696,932.62
168,8753,932.57
169,8802,932.60
170,8853,932.59
171,8905,932.58
172,8956,932.56
173,9008,932.59
174,9059,932.58
175,9111,932.58
176,9162,932.57
177,9213,932.55
178,9265,932.54
179,9316,932.58
180,9368,932.61
181,9419,932.59
182,9470,932.59
183,9522,932.60
184,9573,932.63
185,9625,932.62
186,9676,932.58
187,9728,932.56
188,9779,932.57
189,9830,932.59
190,9882,932.56
191,9936,932.54
192,9989,932.55
193,10040,932.59
194,10092,932.59
195,10143,932.58
196,10194,932.62
197,10247,932.57
198,10298,932.56
199,10350,932.63
200,10404,932.61
201,10456,932.64
202,10508,932.53
203,10559,932.56
204,10611,932.65
205,10662,932.61
206,10715,932.60
207,10766,932.65
208,10818,932.58
209,10869,932.61
210,10920,932.63
211,10973,932.52
212,11024,932.61
213,11076,932.55
214,11127,932.59
215,11180,932.54
216,11231,932.59
217,11283,932.56
218,11334,932.60
219,11389,932.59
220,11442,932.59
221,11493,932.57
222,11545,932.62
223,11596,932.54
224,11648,932.54
225,11700,932.61
226,11751,932.57
227,11802,932.59
228,11854,932.63
229,11906,932.63
230,11961,932.53
231,12011,932.62
232,12061,932.60
233,12112,932.61
234,12164,932.59
235,12216,932.57
236,12265,932.55
237,12314,932.60
238,12363,932.56
239,12411,932.56
