n,t,p
0,49,932.73
1,100,932.71
2,151,932.73
3,202,932.74
4,254,932.74
5,309,932.73
6,360,932.72
7,410,932.73
8,460,932.71
9,509,932.78
10,560,932.74
11,609,932.78
12,660,932.80
13,708,932.79
14,760,932.71
15,811,932.79
16,860,932.76
17,909,932.76
18,960,932.77
19,1011,932.75
20,1061,932.71
21,1111,932.77
22,1160,932.72
23,1209,932.73
24,1259,932.76
25,1309,932.77
26,1362,932.73
27,1414,932.76
28,1465,932.75
29,1516,932.74
30,1567,932.77
31,1618,932.73
32,1670,932.74
33,1721,932.75
34,1773,932.79
35,1824,932.76
36,1875,932.74
37,1927,932.73
38,1979,932.72
39,2030,932.73
40,2082,932.77
41,2126,932.72
42,2177,932.77
43,2226,932.78
44,2274,932.84
45,2323,932.71
46,2372,932.78
47,2421,932.75
48,2470,932.80
49,2520,932.75
50,2569,932.74
51,2618,932.78
52,2666,932.80
53,2715,932.77
54,2768,932.73
55,2821,932.74
56,2872,932.76
57,2924,932.78
58,2975,932.74
59,3025,932.74
60,3077,932.75
61,3128,932.77
62,3179,932.70
63,3231,932.81
64,3282,932.80
65,3334,932.82
66,3386,932.80
67,3437,932.76
68,3488,932.81
69,3539,932.76
70,3592,932.76
71,3643,932.76
72,3694,932.75
73,3746,932.77
74,3798,932.74
75,3852,932.72
76,3904,932.75
77,3955,932.79
78,4007,932.79
79,4059,932.76
80,4111,932.81
81,4162,932.77
82,4217,932.73
83,4269,932.74
84,4321,932.77
85,4371,932.73
86,4422,932.76
87,4474,932.76
88,4526,932.76
89,4577,932.74
90,4628,932.76
91,4679,932.73
92,4731,932.79
93,4783,932.81
94,4834,932.76
95,4886,932.76
96,4937,932.76
97,4988,932.77
98,5041,932.78
99,5092,932.74
100,5143,932.76
101,5195,932.73
102,5246,932.74
103,5298,932.74
104,5350,932.76
105,5401,932.71
106,5452,932.75
107,5504,932.79
108,5559,932.75
109,5610,932.75
110,5665,932.76
111,5718,932.79
112,5769,932.75
113,5820,932.81
114,5870,932.86
115,5922,932.79
116,5974,932.78
117,6025,932.76
118,6077,932.76
119,6128,932.77
120,6179,932.77
121,6232,932.78
122,6283,932.78
123,6334,932.80
124,6385,932.79
125,6437,932.79
126,6489,932.77
127,6541,932.79
128,6592,932.80
129,6643,932.78
130,6695,932.78
131,6747,932.82
132,6798,932.79
133,6849,932.81
134,6901,932.82
135,6952,932.80
136,7004,932.81
137,7056,932.79
138,7107,932.78
139,7161,932.81
140,7217,932.80
141,7267,932.78
142,7317,932.77
143,7369,932.81
144,7420,932.77
145,7472,932.78
146,7521,932.76
147,7570,932.78
148,7619,932.80
149,7667,932.79
150,7716,932.78
151,7766,932.79
152,7815,932.80
153,7863,932.79
154,7912,932.75
155,7961,932.74
156,8009,932.79
157,8058,932.77
158,8108,932.78
159,8157,932.71
160,8205,932.80
161,8254,932.79
162,8303,932.80
163,8351,932.79
164,8400,932.79
165,8450,932.79
166,8499,932.79
167,8553,932.73
168,8604,932.77
169,8655,932.79
170,8707,932.75
171,8758,932.73
172,8812,932.75
173,8863,932.73
174,8914,932.75
175,8967,932.77
176,9018,932.74
177,9069,932.80
178,9120,932.73
179,9171,932.74
180,9223,932.73
181,9275,932.72
182,9326,932.79
183,9377,932.77
184,9428,932.77
185,9480,932.75
186,9531,932.75
187,9582,932.79
188,9634,932.77
189,9686,932.74
190,9737,932.71
191,9788,932.78
192,9839,932.79
193,9891,932.79
194,9943,932.72
195,9999,932.74
196,10050,932.71
197,10101,932.73
198,10153,932.76
199,10205,932.79
200,10256,932.73
201,10308,932.77
202,10359,932.74
203,10411,932.78
204,10466,932.75
205,10516,932.76
206,10567,932.78
207,10618,932.76
208,10671,932.76
209,10722,932.79
210,10773,932.74
211,10825,932.76
212,10876,932.75
213,10928,932.77
214,10980,932.81
215,11031,932.79
216,11082,932.80
217,11133,932.84
218,11185,932.77
219,11237,932.77
220,11288,932.77
221,11339,932.78
222,11392,932.75
223,11447,932.79
224,11498,932.78
225,11549,932.77
226,11601,932.78
227,11654,932.79
228,11705,932.78
229,11757,932.75
230,11808,932.78
231,11860,932.79
232,11912,932.76
233,11964,932.80
234,12018,932.83
235,12069,932.76
236,12121,932.75
237,12172,932.81
238,12224,932.76
239,12275,932.78
240,12326,932.73
241,12378,932.75
242,12430,932.78
243,12481,932.78
244,12533,932.77
245,12584,932.79
246,12636,932.77
247,12687,932.76
248,12739,932.76
249,12790,932.74
250,12841,932.79
251,12897,932.79
252,12949,932.78
253,13000,932.78
254,13052,932.78
255,13104,932.78
256,13155,932.78
257,13206,932.77
258,13258,932.78
259,13309,932.79
260,13362,932.76
261,13413,932.78
262,13465,932.77
263,13516,932.77
264,13571,932.77
265,13623,932.79
266,13674,932.78
267,13726,932.79
268,13777,932.78
269,13830,932.78
270,13881,932.78
271,13933,932.77
272,13984,932.75
273,14036,932.79
274,14088,932.77
275,14140,932.79
276,14192,932.75
277,14243,932.78
278,14296,932.74
279,14350,932.76
280,14402,932.78
281,14453,932.79
282,14504,932.70
283,14556,932.79
284,14607,932.77
285,14659,932.80
286,14710,932.75
287,14761,932.78
288,14813,932.76
289,14865,932.79
290,14916,932.78
291,14967,932.77
292,15020,932.68
293,15071,932.74
294,15126,932.72
295,15177,932.78
296,15229,932.75
297,15281,932.71
298,15333,932.79
299,15385,932.76
300,15436,932.73
301,15489,932.73
302,15540,932.74
303,15592,932.74
304,15643,932.73
305,15695,932.72
306,15747,932.79
307,15803,932.78
308,15854,932.80
309,15906,932.79
310,15956,932.72
311,16007,932.77
312,16059,932.74
313,16110,932.70
314,16162,932.75
315,16214,932.71
316,16265,932.79
317,16317,932.74
318,16368,932.81
319,16419,932.80
320,16471,932.70
321,16523,932.77
322,16574,932.70
323,16626,932.77
324,16680,932.71
325,16733,932.78
326,16784,932.77
327,16835,932.71
328,16887,932.81
329,16939,932.73
330,16991,932.74
331,17043,932.79
332,17094,932.70
333,17146,932.77
334,17198,932.77
335,17252,932.70
336,17303,932.81
337,17353,932.79
338,17404,932.77
339,17457,932.70
340,17508,932.77
341,17560,932.79
342,17611,932.71
343,17662,932.73
344,17714,932.79
345,17766,932.78
346,17817,932.75
347,17869,932.74
348,17921,932.77
349,17972,932.71
350,18024,932.72
351,18075,932.73
352,18126,932.81
353,18179,932.79
354,18233,932.74
355,18285,932.78
356,18336,932.73
357,18387,932.72
358,18440,932.70
359,18491,932.69
360,18542,932.70
361,18594,932.71
362,18646,932.74
363,18701,932.74
364,18753,932.78
365,18804,932.73
366,18856,932.77
367,18908,932.70
368,18960,932.75
369,19011,932.81
370,19063,932.71
371,19116,932.79
372,19167,932.72
373,19219,932.76
374,19270,932.73
375,19321,932.75
376,19374,932.78
377,19426,932.72
378,19477,932.73
379,19529,932.82
380,19580,932.81
381,19633,932.78
382,19684,932.83
383,19736,932.78
384,19787,932.83
385,19832,932.73
386,19884,932.81
387,19936,932.77
388,19986,932.78
389,20036,932.70
390,20087,932.72
391,20139,932.72
392,20194,932.74
393,20245,932.70
394,20296,932.71
395,20348,932.79
396,20400,932.72
397,20451,932.74
398,20502,932.71
399,20553,932.72
400,20604,932.78
401,20657,932.81
402,20708,932.79
403,20759,932.74
404,20811,932.78
405,20862,932.79
406,20914,932.77
407,20965,932.78
408,21016,932.78
409,21067,932.75
410,21120,932.78
411,21171,932.70
412,21222,932.74
413,21273,932.78
414,21324,932.75
415,21379,932.70
416,21431,932.78
417,21482,932.72
418,21533,932.70
419,21585,932.73
420,21641,932.81
421,21692,932.69
422,21744,932.75
423,21795,932.74
424,21847,932.73
425,21898,932.73
426,21950,932.72
427,22001,932.74
428,22052,932.71
429,22104,932.75
430,22156,932.77
431,22207,932.73
432,22258,932.74
433,22309,932.75
434,22362,932.77
435,22413,932.70
436,22464,932.70
437,22515,932.70
438,22566,932.73
439,22618,932.78
440,22670,932.74
441,22721,932.77
442,22772,932.73
443,22824,932.72
444,22876,932.74
445,22930,932.71
446,22981,932.72
447,23032,932.72
448,23088,932.82
449,23140,932.74
450,23191,932.77
451,23243,932.71
452,23294,932.72
453,23347,932.69
